6.450000e+01 3.491006e-02 5.004003e-02 5.591137e-02 8.417488e-04 64.500000 3.977664E-04 5.567742E-04 5.713021E-04 9.903274E-06  64.5000   0.357926E-01  64.5000   0.512544E-01
6.550000e+01 3.472836e-02 4.985968e-02 5.725430e-02 8.510035e-04 65.500000 3.956818E-04 5.503598E-04 6.283200E-04 1.021521E-05  65.5000   0.356120E-01  65.5000   0.509314E-01
6.650000e+01 3.455764e-02 4.953939e-02 5.539219e-02 8.477601e-04 66.500000 3.937850E-04 5.484671E-04 5.743609E-04 9.830350E-06  66.5000   0.354477E-01  66.5000   0.506333E-01
6.750000e+01 3.442520e-02 4.911202e-02 5.630577e-02 8.550167e-04 67.500000 3.922074E-04 5.443432E-04 5.248165E-04 9.506359E-06  67.5000   0.352992E-01  67.5000   0.503597E-01
6.850000e+01 3.428997e-02 4.894955e-02 5.468949e-02 8.074555e-04 68.500000 3.907050E-04 5.419769E-04 4.993599E-04 9.931541E-06  68.5000   0.351662E-01  68.5000   0.501097E-01
6.950000e+01 3.418525e-02 4.876065e-02 5.453249e-02 8.185206e-04 69.500000 3.894092E-04 5.375586E-04 6.272194E-04 9.966336E-06  69.5000   0.350485E-01  69.5000   0.498830E-01
7.050000e+01 3.407073e-02 4.854402e-02 5.532192e-02 8.304759e-04 70.500000 3.883011E-04 5.368394E-04 5.937412E-04 9.544973E-06  70.5000   0.349458E-01  70.5000   0.496789E-01
7.150000e+01 3.398353e-02 4.837075e-02 5.336968e-02 8.522542e-04 71.500000 3.873058E-04 5.360563E-04 6.349263E-04 9.821482E-06  71.5000   0.348577E-01  71.5000   0.494971E-01
7.250000e+01 3.393178e-02 4.820114e-02 5.508262e-02 8.527009e-04 72.500000 3.865170E-04 5.339559E-04 5.670081E-04 9.017376E-06  72.5000   0.347842E-01  72.5000   0.493372E-01
7.350000e+01 3.386664e-02 4.807143e-02 5.453827e-02 8.574041e-04 73.500000 3.857658E-04 5.302986E-04 5.212213E-04 9.217389E-06  73.5000   0.347250E-01  73.5000   0.491988E-01
7.450000e+01 3.382919e-02 4.799771e-02 5.424976e-02 8.433044e-04 74.500000 3.852963E-04 5.323833E-04 5.501352E-04 9.751517E-06  74.5000   0.346800E-01  74.5000   0.490816E-01
7.550000e+01 3.380321e-02 4.787576e-02 5.285087e-02 8.580537e-04 75.500000 3.849958E-04 5.289390E-04 5.706185E-04 9.844848E-06  75.5000   0.346490E-01  75.5000   0.489854E-01
7.650000e+01 3.378044e-02 4.780550e-02 5.513486e-02 8.424165e-04 76.500000 3.848080E-04 5.279657E-04 5.139976E-04 9.706352E-06  76.5000   0.346320E-01  76.5000   0.489100E-01
7.750000e+01 3.376293e-02 4.778585e-02 5.460409e-02 8.402760e-04 77.500000 3.847704E-04 5.288913E-04 5.033159E-04 1.081292E-05  77.5000   0.346290E-01  77.5000   0.488552E-01
7.850000e+01 3.378481e-02 4.765115e-02 5.288215e-02 8.439204e-04 78.500000 3.848643E-04 5.273987E-04 6.046662E-04 1.062868E-05  78.5000   0.346398E-01  78.5000   0.488209E-01
7.950000e+01 3.382163e-02 4.773274e-02 5.294512e-02 8.256425e-04 79.500000 3.851648E-04 5.295993E-04 5.903048E-04 1.042863E-05  79.5000   0.346645E-01  79.5000   0.488069E-01
8.050000e+01 3.383215e-02 4.775414e-02 5.409394e-02 8.501505e-04 80.500000 3.855968E-04 5.277617E-04 5.366397E-04 9.284490E-06  80.5000   0.347030E-01  80.5000   0.488133E-01
8.150000e+01 3.389259e-02 4.764146e-02 5.224765e-02 8.504307e-04 81.500000 3.861038E-04 5.279644E-04 5.877178E-04 9.992060E-06  81.5000   0.347555E-01  81.5000   0.488401E-01
8.250000e+01 3.395722e-02 4.782511e-02 5.356367e-02 8.614673e-04 82.500000 3.869114E-04 5.295805E-04 5.768821E-04 1.024153E-05  82.5000   0.348219E-01  82.5000   0.488872E-01
8.350000e+01 3.403241e-02 4.780223e-02 5.393727e-02 8.504830e-04 83.500000 3.877565E-04 5.281892E-04 5.936769E-04 1.012034E-05  83.5000   0.349024E-01  83.5000   0.489548E-01
8.450000e+01 3.414079e-02 4.799306e-02 5.379677e-02 8.534611e-04 84.500000 3.888833E-04 5.303285E-04 5.251873E-04 1.001890E-05  84.5000   0.349972E-01  84.5000   0.490429E-01
8.550000e+01 3.423036e-02 4.800974e-02 5.405083e-02 8.760565e-04 85.500000 3.900853E-04 5.304563E-04 5.204214E-04 1.011930E-05  85.5000   0.351063E-01  85.5000   0.491518E-01
8.650000e+01 3.434939e-02 4.820318e-02 5.445486e-02 8.656728e-04 86.500000 3.914374E-04 5.329174E-04 5.178046E-04 9.146454E-06  86.5000   0.352299E-01  86.5000   0.492815E-01
8.750000e+01 3.448171e-02 4.823335e-02 5.460426e-02 8.582444e-04 87.500000 3.929586E-04 5.345311E-04 5.479636E-04 1.105310E-05  87.5000   0.353682E-01  87.5000   0.494324E-01
8.850000e+01 3.463296e-02 4.858580e-02 5.175373e-02 8.532518e-04 88.500000 3.946864E-04 5.349078E-04 6.220744E-04 8.871904E-06  88.5000   0.355215E-01  88.5000   0.496046E-01
8.950000e+01 3.479364e-02 4.861326e-02 5.487064e-02 8.310521e-04 89.500000 3.966208E-04 5.385416E-04 5.347229E-04 9.420493E-06  89.5000   0.356900E-01  89.5000   0.497986E-01
9.050000e+01 3.499209e-02 4.878148e-02 5.476123e-02 8.685143e-04 90.500000 3.985740E-04 5.401850E-04 5.278105E-04 1.224064E-05  90.5000   0.358740E-01  90.5000   0.500147E-01
9.150000e+01 3.518752e-02 4.913365e-02 5.344407e-02 8.676261e-04 91.500000 4.008651E-04 5.426918E-04 6.159848E-04 1.091876E-05  91.5000   0.360738E-01  91.5000   0.502532E-01
9.250000e+01 3.539659e-02 4.936363e-02 5.534854e-02 8.886305e-04 92.500000 4.031939E-04 5.457294E-04 5.309357E-04 1.070152E-05  92.5000   0.362899E-01  92.5000   0.505147E-01
9.350000e+01 3.561144e-02 4.963213e-02 5.463494e-02 8.856469e-04 93.500000 4.057668E-04 5.496352E-04 5.799714E-04 1.022791E-05  93.5000   0.365225E-01  93.5000   0.507995E-01
9.450000e+01 3.586926e-02 4.989027e-02 5.523176e-02 9.023449e-04 94.500000 4.085838E-04 5.515537E-04 6.739096E-04 1.080884E-05  94.5000   0.367722E-01  94.5000   0.511084E-01
9.550000e+01 3.612484e-02 5.025340e-02 5.553319e-02 9.034983e-04 95.500000 4.115511E-04 5.572968E-04 6.129192E-04 9.523308E-06  95.5000   0.370393E-01  95.5000   0.514418E-01
9.650000e+01 3.641126e-02 5.063525e-02 5.681764e-02 9.065932e-04 96.500000 4.147062E-04 5.602054E-04 6.569147E-04 1.022105E-05  96.5000   0.373245E-01  96.5000   0.518004E-01
